id,place,title,lat,lng,geo_precision,year_start,year_end,date_precision,type,hook,media_url,licence,source_urls,wow,confidence,notes,story
11,Sree Kanteerava Stadium,Sampangi Stadium inaugurated,12.96977,77.59277,building,1946,,year,building,Opened by Maharaja Jayachamaraja Wadiyar as Sampangi Stadium,,,https://en.wikipedia.org/wiki/Sree_Kanteerava_Stadium,3,verified,,"Built on the drained lakebed, the stadium was inaugurated in 1946 by Maharaja Jayachamaraja Wadiyar as Sampangi Stadium. It was later renamed after his father, Yuvaraja Kanteerava Narasimharaja Wadiyar."
12,Bangalore Club,Bangalore United Services Club founded,12.96684,77.59740,building,1868,,year,building,An officers-only club of the British Empire,https://commons.wikimedia.org/wiki/File:OLDBangaloreClubWinstonChurchillPHOTO_1024x1024.jpg,Public domain,https://en.wikipedia.org/wiki/Bangalore_Club,4,verified,Image c.1883 by Albert Thomas Watson (Penn),"Founded in 1868 as the Bangalore United Services Club, for officers of the British Empire. Its past members include the Maharaja of Mysore and Winston Churchill. The picture shows the club around 1883."
13,Bangalore Club,Winston Churchill's unpaid bill of Rs 13,12.96684,77.59740,building,,,undated,story,A ledger on display lists Winston Churchill's Rs 13 as an irrecoverable debt,,,https://en.wikipedia.org/wiki/Bangalore_Club,5,verified,Add a second independent source before publishing,"A ledger on display in the club's main building lies open at a page of 'irrecoverable debts' the club wrote off. One entry: Rs 13, owed by Winston Churchill."
14,Bangalore Club,Club opens to civilians and is renamed,12.96684,77.59740,building,1946,,year,event,Officers only until 1946 — then civilians were let in,https://commons.wikimedia.org/wiki/File:U.S._Club%2C_Bangalore%2C_1902..jpg,CC BY-SA 3.0,https://en.wikipedia.org/wiki/Bangalore_Club,3,verified,,"Civilians were admitted in 1946, and the United Services Club became the Bangalore Club. When permanent membership was last open, the waiting list ran to more than 30 years. The photograph is from 1902."
15,St Mark's Cathedral,St Mark's Church built on the South Parade grounds,12.97603,77.60015,building,1812,,year,building,,https://commons.wikimedia.org/wiki/File:St_Mark%27s_Church%2C_Bangalore_(1900)%2C_by_C_H_Doveton.jpg,Public domain,https://en.wikipedia.org/wiki/St._Mark%27s_Cathedral%2C_Bengaluru;https://www.wikidata.org/,3,disputed,Wikidata inception 1812; Commons captions say 1808 — resolve,"St Mark's was built on the South Parade grounds of the Cantonment. Sources disagree on the date: Wikidata gives 1812, while several Wikimedia Commons captions say 1808. Pictured here in 1900 by C. H. Doveton."
16,St Mark's Cathedral,Fire guts St Mark's,12.97603,77.60015,building,1923,,day,event,On 17 Feb 1923 a short circuit burned the church — photographed by Kenneth Anderson,https://commons.wikimedia.org/wiki/File:Kenneth_Anderson_-_1923_Fire_Damage%2C_St._Mark%27s_Cathedral%2C_Bangalore_01.jpg,Public domain,https://en.wikipedia.org/wiki/St._Mark%27s_Cathedral%2C_Bengaluru,5,verified,3 PD photos; congregation moved to St Andrew's temporarily,"On 17 February 1923 a short circuit set St Mark's on fire, ravaging the building. The congregation had to worship elsewhere while it was restored. These photographs of the damage are by Kenneth Anderson."
17,St Mark's Cathedral,St Marks c.1912 (Tuck's postcard),12.97603,77.60015,building,1912,,circa,photo,,https://commons.wikimedia.org/wiki/File:St._Marks_Church%2C_Bangalore_(around_1912)_-_Tucks_Postcard.jpg,Public domain,https://commons.wikimedia.org/wiki/File:St._Marks_Church%2C_Bangalore_(around_1912)_-_Tucks_Postcard.jpg,3,verified,Good Then/Now candidate,"St Mark's on a Tuck's postcard from around 1912, about a decade before the fire of 1923."
18,Attara Kacheri (High Court),Public Offices completed,12.97788,77.59267,building,1868,,year,building,Mysore's government offices moved into this building in 1868,https://commons.wikimedia.org/wiki/File:Public_Offices_(with_an_equestrian_statue_of_Sir_Mark_Cubbon)%2C_Bangalore_(1890)._Curzon_Collection%27s_%27Souvenir_of_Mysore_Album%27.jpg,Public domain,https://en.wikipedia.org/wiki/Attara_Kacheri,4,verified,Site had boulders and ravines; 14-ft foundations,"Completed in 1868 as the Public Offices, the building housed the Mysore government's secretariat. The site, chosen by Mark Cubbon facing the Cantonment parade grounds, was full of boulders and ravines, so the builders laid foundations fourteen feet deep. The 1890 photograph shows Cubbon's equestrian statue out front."
19,Attara Kacheri (High Court),New elected cabinet sworn in amid jubilation,12.97788,77.59267,building,1947,,day,event,24 Oct 1947: crowds cheered as an elected cabinet was sworn in here,,,https://en.wikipedia.org/wiki/Attara_Kacheri,4,verified,,"On 24 October 1947 a new cabinet of elected representatives was sworn in here, and Attara Kacheri became a scene of great public jubilation."
20,Attara Kacheri (High Court),Chief Minister wants it demolished,12.97788,77.59267,building,1950,1959,decade,story,Kengal Hanumanthaiah wanted this colonial building torn down,https://commons.wikimedia.org/wiki/File:Attara_Katcheri%2C_Bangalore_(Early_1900s)%2C_Tucks_Post_Card.jpg,Public domain,https://en.wikipedia.org/wiki/Attara_Kacheri,5,verified,Image is early 1900s postcard,"In the early 1950s Chief Minister Kengal Hanumanthaiah wanted Attara Kacheri demolished as a vestige of colonialism. It survived. After the legislature moved to Vidhana Soudha in 1956, the High Court took over the whole building."
21,Attara Kacheri (High Court),Cubbon statue moved into Cubbon Park,12.97788,77.59267,building,2019,2020,year,event,Mark Cubbon's statue outside this building was moved into the park,https://commons.wikimedia.org/wiki/File:Inauguration_of_the_Statue_of_Sir._Mark_Cubbon_at_Bangalore%2C_India_-_ILN_1861.jpg,Public domain,https://en.wikipedia.org/wiki/Attara_Kacheri;https://en.wikipedia.org/wiki/Cubbon_Park,4,disputed,CONFLICT: Attara Kacheri article says 2019; Cubbon Park article says 28 June 2020. ILN image dated 5 May 1866 on Commons (filename says 1861),"Mark Cubbon's equestrian statue, long a fixture at this building, was moved to the Band Stand inside Cubbon Park. Sources disagree on when: one Wikipedia article says 2019, another says 28 June 2020. The engraving shows the statue's inauguration, from the Illustrated London News."
22,Cubbon Park,Meade's Park laid out,12.97500,77.59333,area,1870,,year,building,Cubbon Park was first named after someone else — Sir John Meade,https://commons.wikimedia.org/wiki/File:Cubbon_Park%2C_Bangalore_(1890)._Curzon_Collection%27s_%27Souvenir_of_Mysore_Album%27.jpg,Public domain,https://en.wikipedia.org/wiki/Cubbon_Park,4,verified,Image 1890,"Laid out in 1870 under Major General Richard Sankey, the park was first called Meade's Park, after acting commissioner Sir John Meade. It was later renamed after Sir Mark Cubbon, the longest-serving commissioner. Photographed in 1890."
23,Cubbon Park,Renamed Sri Chamarajendra Park — nobody used it,12.97500,77.59333,area,1927,,year,story,Officially renamed in 1927; almost a century later everyone still says Cubbon Park,,,https://en.wikipedia.org/wiki/Cubbon_Park,4,verified,,"In 1927, for the silver jubilee of Krishnaraja Wodeyar's rule, the park was officially renamed Sri Chamarajendra Park. The name never caught on, and people kept calling it Cubbon Park."
24,Government Museum,Museum founded inside the Cantonment jail,12.97487,77.59577,area,1865,,year,story,Bangalore's museum started life in a jail building,,,https://en.wikipedia.org/wiki/Government_Museum%2C_Bengaluru,4,verified,Jail location unknown — do NOT place at Freedom Park; attach to museum place as backstory,"The museum was established in 1865 with guidance from Surgeon Edward Balfour, who had founded the museum in Madras. Its first home was the Cantonment's jail building. That was judged unsuitable, so a purpose-built museum was planned."
25,Government Museum,Museum building opens on Sydney Road,12.97487,77.59577,building,1877,,year,building,Kasturba Road used to be Sydney Road,https://commons.wikimedia.org/wiki/File:Government_Museum%2C_Bangalore_(1890)_from_the_Curzon_Collection%27s_%27Souvenir_of_Mysore_Album%27.jpg,Public domain,https://en.wikipedia.org/wiki/Government_Museum%2C_Bengaluru,3,verified,Image 1890,"The museum's own building opened in 1877 on what was then Sydney Road, today Kasturba Road. Photographed in 1890."
26,Statue of Queen Victoria,Queen Victoria statue unveiled by future George V,12.97684,77.59880,exact,1906,,day,event,5 Feb 1906: the Prince of Wales unveiled it on his India tour,https://commons.wikimedia.org/wiki/File:Victoria_Full%2C_Bangalore.JPG,CC BY-SA 4.0,https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria%2C_Bengaluru,3,verified,Modern photo 2004,"Unveiled on 5 February 1906 by the Prince of Wales, the future King George V, during his tour of British India. From Bangalore he went on to Karachi to unveil yet another statue of the late queen."
27,Statue of Edward VII,Edward VII statue unveiled by Viceroy Chelmsford,12.98030,77.59493,exact,1919,,month,event,,https://commons.wikimedia.org/wiki/File:King_Edward_VII._Marble_Statue_for_Bangalore%2C_Mysore._Leonard_Jennings%2C_Sculptor_(p.36%2C_Academy_of_Architecture%2C_1914_-_Sculptures)_-_Copy.jpg,Public domain,https://en.wikipedia.org/wiki/Statue_of_Edward_VII%2C_Bengaluru,2,verified,Image 1914 sculptor's plate,"The statue of King Edward VII was unveiled in November 1919 by the Viceroy, Lord Chelmsford. The picture shows Leonard Jennings's marble statue as published in 1914."
28,Rex Theatre,Two auditoriums built on Brigade Road,12.97280,77.60670,street,1940,1949,decade,cinema,,,,https://www.thenewsminute.com/karnataka/80-years-cinema-credits-roll-bengalurus-rex-theatre-it-shuts-dec-31-92851,3,verified,Coordinate is 202 Brigade Road (OSM) — confirm Rex address,"In the late 1930s Rao Saheb Pasupalety Venugopal Naidu bought an acre on Brigade Road and built two auditoriums, which began screening films in the 1940s."
29,Rex Theatre,Reopens as Rex with Sleeping Beauty,12.97280,77.60670,street,1962,,year,cinema,Won at auction in 1961 for Rs 8.51 lakh,,,https://www.thenewsminute.com/karnataka/80-years-cinema-credits-roll-bengalurus-rex-theatre-it-shuts-dec-31-92851,3,verified,,"After being mortgaged in 1951, the property was won at auction by Nand Lal Kapur in 1961. It opened as Rex in 1962 with The Sleeping Beauty, got air conditioning in 1971, and later ran Cliffhanger for 29 weeks."
30,Rex Theatre,Rex's final show,12.97280,77.60670,street,2018,,day,event,80 years of cinema ended on 31 Dec 2018,,,https://www.thenewsminute.com/karnataka/80-years-cinema-credits-roll-bengalurus-rex-theatre-it-shuts-dec-31-92851;https://citizenmatters.in/bengalurus-rex-gone-but-not-forgotten/,4,verified,Replaced by Prestige/Kapur multiplex,Rex shut on 31 December 2018 after about 80 years of cinema on the site. Kapur Investments and the Prestige Group planned a four-screen multiplex with shops and restaurants in its place.
31,Bangalore Central (Commissariat Road),Victoria Hotel demolished,12.97100,77.61070,street,2000,,year,building,A one-acre colonial bungalow hotel stood where Bangalore Central mall is,,,https://www.thenewsminute.com/karnataka/victoria-hotel-remembering-bengaluru-s-forgotten-heritage-144881,4,verified,Coordinate is road-level placeholder; confirm mall location,"Victoria Hotel was a colonial bungalow on a one-acre estate, with high roofs, monkey-top windows, 28 rooms, a bar and a restaurant known for appams, stew and English breakfasts. The building was razed in 2000, and Bangalore Central mall stands where it was."
32,Bangalore Central (Commissariat Road),Legend: began as a reading room for Churchill,12.97100,77.61070,street,,,undated,story,,,,https://www.thenewsminute.com/karnataka/victoria-hotel-remembering-bengaluru-s-forgotten-heritage-144881,4,legend,Attributed to Maya Jayapal (1997). Label as LOCAL LEGEND,"According to Maya Jayapal's 1997 book Bangalore: The Story of a City, the site began as a reading room built for Winston Churchill. This is reported lore, not an independently verified fact."
33,Brigade Road area,"Lost cinemas: Imperial (closed 1990s), Blu Moon/Diamond (1994), Galaxy (2002)",12.97300,77.60700,area,1990,2002,decade,cinema,Brigade Road and MG Road once had a cluster of single screens,,,https://www.thenewsminute.com/karnataka/80-years-cinema-credits-roll-bengalurus-rex-theatre-it-shuts-dec-31-92851,4,likely,Need individual addresses before splitting into places,
34,Koshy's,Koshy's starts as a bakery,12.97563,77.60147,building,1940,,year,business,"Nehru, Queen Elizabeth II and Khrushchev ate here",,,https://en.wikipedia.org/wiki/Koshy%27s,4,verified,Restaurant built 1952; still open — a 'survivor' layer,"Koshy's began in 1940 as a bakery set up by P. O. Koshy from Kerala, and the restaurant was built next door in 1952. Jawaharlal Nehru, Queen Elizabeth II and Nikita Khrushchev have all dined here. It is still open."
35,Commercial Street,Commercial Street in 1900,12.98221,77.60825,street,1900,,year,photo,,https://commons.wikimedia.org/wiki/File:Commercial_Street%2C_Bangalore_by_CH_Doveton_(1900).jpg,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Commercial_Street%2C_Bangalore_by_CH_Doveton_(1900).jpg,4,verified,From Picturesque Bangalore; Then/Now candidate,"Commercial Street, photographed by C. H. Doveton for the 1900 book Picturesque Bangalore. It is still one of the city's oldest and busiest shopping streets."
36,St Andrew's Kirk,St Andrew's Kirk built,12.97941,77.60426,building,1866,,year,building,,https://commons.wikimedia.org/wiki/File:A_View_of_St._Andrew%2C_Bangalore%2C_by_Bourne_and_Shepherd_(c.1890).jpg,Public domain,https://en.wikipedia.org/wiki/St._Andrew%27s_Church%2C_Bengaluru,3,verified,Also ILN 1867 engraving + 1867 plan,"St Andrew's, the Presbyterian 'Kirk' of the Cantonment, dates from 1866 and followed Scottish customs, down to Burns Night. Photographed around 1890 by Bourne and Shepherd."
37,Infantry Road,Mission Chapel between St Andrew's and St Paul's,12.97800,77.60200,street,1839,,year,photo,The oldest image in the set — 1839,https://commons.wikimedia.org/wiki/File:Mission_Chapel_at_Bangalore_(Campbell%2C_1839).jpg,Public domain,https://commons.wikimedia.org/wiki/File:Mission_Chapel_at_Bangalore_(Campbell%2C_1839).jpg,3,likely,Placement along Infantry Road approximate; road renamed 2004,
38,Lok Bhavan (Residency),The Residency,12.98226,77.59136,building,1842,,year,building,The Governor's home was the British Residency,https://commons.wikimedia.org/wiki/File:View_of_the_Residency%2C_Bangalore_from_the_Lee-Warner_Collection-_Souvenirs_of_Kolhapur._Installation_of_H.H._the_Maharajah%2C_1894.jpg,Public domain,https://en.wikipedia.org/wiki/Lok_Bhavan%2C_Bengaluru,3,verified,First floor added 1967,"Today's Lok Bhavan, formerly Raj Bhavan, was the Bangalore Residency. After independence the Maharaja chose not to live here, and it became a state guesthouse before becoming the governor's residence. Originally single-storeyed, it gained a first floor in 1967. Pictured in 1894."
39,Vidhana Soudha,Vidhana Soudha completed; Churchill remark shaped its style,12.97969,77.59066,building,1956,,year,story,A Churchill remark about Gandhi pushed the government toward Dravidian architecture,,,https://en.wikipedia.org/wiki/Vidhana_Soudha,5,verified,Released prisoners worked on construction,"Vidhana Soudha was completed in 1956. By its recorded history, Churchill's 1931 description of Gandhi as a 'half-naked fakir' led the state government to choose a Dravidian style for the new legislature. Some of its builders were prisoners, released once the work was finished."
40,Ulsoor Lake,Ulsoor Tank with Kempe Gowda tower,12.98147,77.61921,area,1902,,year,photo,,https://commons.wikimedia.org/wiki/File:Ulsoor_Tank_(with_Kempe_Gowda_Tower)%2C_Bangalore%2C_from_the_Macnabb_Collection_(Col_James_Henry_Erskine_Reid)._Album_of_Indian_views%2C_taken_in_1902.jpg,Public domain,https://commons.wikimedia.org/wiki/File:Ulsoor_Tank_(with_Kempe_Gowda_Tower)%2C_Bangalore%2C_from_the_Macnabb_Collection_(Col_James_Henry_Erskine_Reid)._Album_of_Indian_views%2C_taken_in_1902.jpg,3,verified,Also 1917 MacGeorge twilight,"Ulsoor Tank with the Kempe Gowda tower, photographed in 1902 for Col. James Henry Erskine Reid's album of Indian views."
41,Holy Trinity Church,Church founded at the far end of South Parade,12.97211,77.62033,building,1851,,year,building,,https://commons.wikimedia.org/wiki/File:Holy_Trinity%2C_Bangalore_(Penny%2C_1922%2C_p.215).png,Public domain,https://en.wikipedia.org/wiki/Holy_Trinity_Church%2C_Bengaluru;https://en.wikipedia.org/wiki/St._Mark%27s_Cathedral%2C_Bengaluru,2,verified,Established 1850 per St Mark's article; Wikidata 1851,"Holy Trinity was established at the far end of South Parade from St Mark's, around 1850-51. The Church of South India's Mysore Diocese gave it the name Holy Trinity Church in 1965. Pictured in 1922."
42,Bowring Institute,Foundation stone of current building,12.97427,77.60046,building,1888,,day,building,,,,https://en.wikipedia.org/wiki/Bowring_Institute,2,verified,Club founded 1868 by B. L. Rice; stone laid 22 Nov 1888,Bowring Institute was founded in 1868 by Benjamin Lewis Rice and named after Lewin Bentham Bowring. The foundation stone of its present 12-acre property on St Mark's Road was laid on 22 November 1888.
43,Cubbon Road,Bible and Tract Depot (1890) — still a Tract & Book Society,12.97650,77.60500,street,1890,,year,photo,"Same organisation, same road, 136 years later",https://commons.wikimedia.org/wiki/File:The_Bible_and_Tract_Depot%2C_Bangalore_-_Copy.jpg,Public domain,https://commons.wikimedia.org/wiki/File:The_Bible_and_Tract_Depot%2C_Bangalore_-_Copy.jpg;https://commons.wikimedia.org/wiki/File:Tract_and_Book_Society%2C_Bengaluru%2C_Karnataa%2CIndia.jpg,3,likely,Then/Now pair exists on Commons; confirm same site,
44,Brigade Road,India's first KFC opens,12.97300,77.60700,street,1995,,month,business,India's very first KFC was on Brigade Road (June 1995),,,https://en.wikipedia.org/wiki/Brigade_Road,3,likely,Wikipedia unsourced sentence — needs second source,
